,Important Words,Coefficient_0,Coefficient_4,Coefficient_10,Coefficient_100,Coefficient_1000,Coefficient_100000
83,happy,0.5573952023634463,0.5524838881179482,0.5452454450870925,0.45280003581636574,0.15408740165988666,0.0021591014590834467
84,comfortable,0.33359187604435825,0.3308066552039968,0.3267036527986863,0.274494243925378,0.104823976743126,0.001796976278763377
85,toy,-0.058504884416557455,-0.05780146400843204,-0.056765778451317896,-0.04366567446726584,-0.004845752148972643,0.00027691930481720174
86,able,0.13580869861174405,0.13456875391747908,0.13274211725905524,0.10951041800520298,0.035832466949508326,0.00024581390314622523
87,kids,0.19940875080594062,0.19778919568125417,0.1954031812189849,0.1650086146866756,0.064353322866172,0.0010399089027188508
88,bit,0.3357579982600102,0.33291398506579756,0.32872360575094794,0.27531433071270817,0.10084501648280335,0.0015099066818454255
89,night,0.20687913115053974,0.20508553159981954,0.202443428009765,0.16882148949691178,0.05844283335917271,0.00037769146584208446
90,long,0.1055140652679353,0.10455341104640095,0.10313875229833774,0.08520604806546533,0.029035020881916083,0.000262564816265899
91,fits,0.4876522532652972,0.4834287701947273,0.47720459131995563,0.39776549601827393,0.14124133571575428,0.0023087182491809345
92,see,-0.052890738707090955,-0.05255941938784503,-0.0520706978810267,-0.04577013408789759,-0.022650329701642994,-0.0007546739542013239
93,us,0.10978616997027543,0.10880909888106145,0.1073694303784431,0.08901793901075854,0.029374121621916854,0.0001629406288479143
94,another,-0.17193492527885287,-0.17066356030051155,-0.16879155710937693,-0.1450379464618621,-0.06497046465482376,-0.0015830602848832137
95,play,0.17960239584526191,0.17820452079196708,0.17614680261429758,0.15011739767994517,0.06507672396321978,0.0012252630532169958
96,day,0.08518860836036471,0.08440050735659521,0.08323864285401367,0.06836274380573192,0.019973059752144574,-7.542906391628122e-05
97,money,-0.7687931346121052,-0.7627339763998728,-0.7538182939839561,-0.6414057524811045,-0.2758833739147449,-0.005487210455090579
98,monitor,-0.17441207321526933,-0.17344979371864808,-0.17203426717800605,-0.1541917255063207,-0.09088127741551202,-0.003433274214425197
99,tried,-0.2900419554764035,-0.2879307742329749,-0.2848239251082416,-0.24558447331335842,-0.11416625282110256,-0.002663930894604533
100,thought,-0.47785646313838,-0.4739511960033223,-0.46819982807982635,-0.3951721576218487,-0.15722132546475714,-0.003078620324571733
101,never,-0.21085887133681117,-0.20930613879648008,-0.20701953846791304,-0.17797207870006654,-0.07953529444516036,-0.0018366425754887967
